"orf19"	"feature"	"common"	"description"	"plate"	"position"	"A_Temp1_UP"	"A_Temp1_DN"	"B_Temp1_UP"	"B_Temp1_DN"	"C_Temp1_UP"	"C_Temp1_DN"	"A_Temp2_UP"	"A_Temp2_DN"	"B_Temp2_UP"	"B_Temp2_DN"	"C_Temp2_UP"	"C_Temp2_DN"	"A_Temp1_DOX_UP"	"A_Temp1_DOX_DN"	"B_Temp1_DOX_UP"	"B_Temp1_DOX_DN"	"C_Temp1_DOX_UP"	"C_Temp1_DOX_DN"	"A_Temp2_DOX_UP"	"A_Temp2_DOX_DN"	"B_Temp2_DOX_UP"	"B_Temp2_DOX_DN"	"C_Temp2_DOX_UP"	"C_Temp2_DOX_DN"	"A_YNB1_UP"	"A_YNB1_DN"	"B_YNB1_UP"	"B_YNB1_DN"	"C_YNB1_UP"	"C_YNB1_DN"	"A_YNB1_DOX_UP"	"A_YNB1_DOX_DN"	"B_YNB1_DOX_UP"	"B_YNB1_DOX_DN"	"C_YNB1_DOX_UP"	"C_YNB1_DOX_DN"	"A_YNB2_UP"	"A_YNB2_DN"	"B_YNB2_UP"	"B_YNB2_DN"	"C_YNB2_UP"	"C_YNB2_DN"	"A_YNB2_DOX_UP"	"A_YNB2_DOX_DN"	"B_YNB2_DOX_UP"	"B_YNB2_DOX_DN"	"C_YNB2_DOX_UP"	"C_YNB2_DOX_DN"	"A_YNB3_UP"	"A_YNB3_DN"	"B_YNB3_UP"	"B_YNB3_DN"	"C_YNB3_UP"	"C_YNB3_DN"	"A_YNB3_DOX_UP"	"A_YNB3_DOX_DN"	"B_YNB3_DOX_UP"	"B_YNB3_DOX_DN"	"C_YNB3_DOX_UP"	"C_YNB3_DOX_DN"	"A_YNB4_UP"	"A_YNB4_DN"	"B_YNB4_UP"	"B_YNB4_DN"	"C_YNB4_UP"	"C_YNB4_DN"	"A_YNB4_DOX_UP"	"A_YNB4_DOX_DN"	"B_YNB4_DOX_UP"	"B_YNB4_DOX_DN"	"C_YNB4_DOX_UP"	"C_YNB4_DOX_DN"	"A_YNB5_UP"	"A_YNB5_DN"	"B_YNB5_UP"	"B_YNB5_DN"	"C_YNB5_UP"	"C_YNB5_DN"	"A_YNB5_DOX_UP"	"A_YNB5_DOX_DN"	"B_YNB5_DOX_UP"	"B_YNB5_DOX_DN"	"C_YNB5_DOX_UP"	"C_YNB5_DOX_DN"
"orf19.841"	"C2_03800C_A"	"COY1"	"Ortholog(s) have role in Golgi vesicle transport and Golgi membrane localization"	"Plate 20"	"F12"	1416	1819	1095	1345	672	778	588	1105	1002	1314	855	895	1694	1886	1593	2876	1713	2361	850	1109	1122	1651	1483	2045	1246	1075	1200	786	1146	922	1441	1248	1421	1025	1709	1518	815	698	794	1165	1020	919	1308	1140	811	709	1382	1809	1241	1367	1174	1223	584	841	1001	1117	1525	1716	731	942	931	924	897	802	934	980	1040	1172	1032	1255	966	1290	1039	1460	925	1122	1387	1839	979	977	1448	1630	1586	1943
"orf19.836"	"C2_03890W_A"	""	"Protein likely to be essential for growth, based on an insertional mutagenesis strategy"	"GELCPlate 02"	"D03"	1051	1121	861	1037	1157	1037	558	1077	346	438	1007	861	750	696	905	1401	546	575	810	823	289	338	783	904	692	452	586	304	1067	667	1370	1041	868	466	1028	833	690	486	272	284	1097	783	761	551	733	389	1104	1001	890	756	1118	942	419	486	1030	1063	1046	919	758	848	560	490	809	576	683	542	1162	1206	536	496	982	1116	566	550	997	968	771	787	995	797	1621	1371	1019	1108
"orf19.835"	"C2_03900C_A"	"IES1"	"Ortholog(s) have role in nucleosome mobilization and Ino80 complex, cytosol localization"	"Plate 19"	"F11"	1346	1386	1817	1547	1917	1550	868	1064	824	823	1275	913	2742	2117	2452	3146	3348	3232	1920	1869	1684	1658	2398	2394	1975	1172	1867	853	1817	1080	4163	2617	3907	2134	4008	2719	1695	1049	1179	1015	1426	1092	2501	1710	2440	1495	2073	1659	1590	1164	1864	1439	784	884	2460	2047	3257	2566	1847	1769	1023	950	1732	1184	1030	849	2372	2137	1955	1910	2601	2602	2033	1802	2279	1648	2119	1733	3299	2174	3811	2707	4004	3511
"orf19.831"	"C2_03930C_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_18570, C. parapsilosis CDC317 : CPAR2_211360, Candida tenuis NRRL Y-1498 : CANTEDRAFT_115359 and Debaryomyces hansenii CBS767 : DEHA2D06886g"	"Plate 04"	"E02"	390	366	1561	1582	1427	1357	958	1297	1469	1911	1026	964	44	48	13	28	38	53	35	68	78	85	61	45	1128	584	964	472	840	595	82	58	66	40	104	94	1648	1082	766	750	1109	966	167	104	58	47	96	111	1360	1160	1060	943	1406	1639	71	72	38	35	130	143	1288	1095	1458	1082	959	1035	116	99	105	104	83	113	1904	1803	1668	1334	1634	1487	76	70	74	65	91	37
"orf19.829"	"C2_03940C_A"	"SCH9"	"Protein kinase; involved in growth control, cell size, resistance to rapamycin, cations, chlamydospore formation, filamentous growth under some conditions, and virulence; prevents hyphal growth in hypoxia at high CO2; Spider biofilm induced"	"Plate 04"	"F03"	537	4	2094	8	1342	7	526	7	855	21	606	1	1469	8	1204	11	718	1	1051	16	813	8	333	3	1101	10	948	1	1917	4	959	2	1333	4	2247	17	1089	7	622	9	772	10	1130	5	1153	9	1042	13	2615	21	888	9	838	9	1054	16	1039	16	1338	23	732	14	1178	6	925	8	1023	3	1427	21	1777	29	1375	9	994	6	1136	5	1122	4	1505	19	1244	12
"orf19.826"	"C2_03980C_A"	""	"RNA polymerase II mediator complex subunit; RNA polymerase II transcription cofactor"	"GELCPlate 05"	"H10"	1495	2284	1615	2363	2030	2785	894	1971	1267	2222	568	723	2077	2644	2618	5395	2397	3800	1335	1978	1505	2265	1748	2471	1931	1573	2142	1313	1706	1655	2532	2240	3294	2580	2092	2337	1187	1277	954	1387	1095	1165	1793	1810	1525	1580	1915	2915	1242	1573	1926	2317	943	1561	1380	1690	1968	2635	1648	2743	1372	1750	1578	1724	1249	1698	1378	1910	1364	1933	1670	2409	1653	2048	2014	2349	2226	2764	2062	1910	1833	2149	2079	2830
"orf19.822"	"C2_04010C_A"	""	"Small heat shock protein; role in stress response and virulence; fluconazole-downregulated; induced in cyr1 or ras1 mutant; stationary phase enriched protein; detected in some, not all, biofilm extracts; Spider biofilm induced"	"GELCPlate 06"	"G04"	650	783	550	658	376	446	219	448	306	441	451	500	1018	1045	328	577	899	1243	376	581	435	522	605	661	430	336	414	220	582	388	731	570	505	305	733	530	457	401	210	244	365	406	474	302	599	390	662	698	599	658	387	370	253	302	512	613	463	494	517	689	419	479	738	590	224	252	622	616	482	450	432	470	446	418	337	293	539	655	623	507	682	622	596	671
"orf19.814"	"C2_04060C_A"	"SSY1"	"Amino acid sensor; required for wild-type hyphal growth on solid serum or Lees media, not under all conditions; 12 predicted membrane spanning regions; Hap43-repressed; Spider biofilm induced"	"Plate 09"	"E01"	1260	1365	656	678	404	274	102	182	398	544	1464	1314	230	278	366	526	145	125	610	656	481	566	356	325	672	400	527	232	813	552	223	127	411	273	360	284	506	307	428	495	341	247	393	261	274	194	368	478	289	276	607	495	398	538	451	432	400	394	196	216	438	398	553	447	765	652	307	342	379	439	448	462	421	444	387	309	583	486	253	246	299	276	200	234
"orf19.811"	"C2_04100W_A"	"YLR283W"	"Protein of unknown function; mutant is viable; Hap43-repressed"	"Plate 03"	"E10"	3596	4073	3419	3839	1820	1796	1624	2490	1472	1820	1725	1576	3105	2964	2408	3752	2308	2774	1915	2208	1981	2397	1731	1962	2673	1982	1983	1027	2533	1513	2205	1529	3172	1954	2427	1737	1425	960	1303	1445	2009	1566	1670	1254	1987	1529	1389	1477	2002	1904	3502	3175	1926	2524	2232	2388	2286	2248	1843	2386	1841	1622	2917	2356	1836	1574	2164	2014	2174	2337	2389	2581	3231	2984	2295	2150	2699	2508	2902	2037	3000	2571	2685	2653
"orf19.809"	"C2_04120C_A"	"NOP12"	"Ortholog(s) have role in maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) and nucleolus, preribosome, large subunit precursor localization"	"Plate 25"	"E12"	4313	173	3394	105	3867	144	1776	149	2317	122	2653	117	4814	105	4711	215	3367	149	2920	210	2461	133	2838	157	3609	108	4031	87	2219	48	4556	41	4253	141	4803	138	2856	106	1915	165	2572	120	3655	54	2455	91	4672	331	2958	176	2961	156	2384	146	3823	312	3515	298	3527	278	2940	142	2704	76	2122	98	2834	44	2793	172	3592	284	3876	125	3153	139	3810	165	4074	133	4524	235	3903	262
"orf19.808"	"C2_04130W_A"	"DEP1"	"Ortholog(s) have role in histone deacetylation, negative regulation of chromatin silencing at rDNA and negative regulation of chromatin silencing at silent mating-type cassette, more"	"GELCPlate 05"	"H11"	812	0	1677	0	1618	0	541	0	415	0	657	0	569	0	570	0	701	0	846	0	456	0	456	0	753	0	1175	0	986	0	1579	0	1371	0	1163	0	577	0	565	0	399	0	627	0	646	0	425	0	517	0	551	0	379	0	717	0	783	0	649	0	858	0	813	0	504	0	723	0	454	0	866	0	1607	0	1046	0	766	0	1549	0	2055	0	1350	0
"orf19.807"	"C2_04140W_A"	"CHS5"	"Putative chitin biosynthesis protein; fungal-specific; repressed upon yeast-to-hypha switch; rat catheter biofilm repressed"	"Plate 07"	"F01"	1044	923	1927	1477	2540	1710	1078	1373	939	826	2166	1661	2651	1781	2240	2578	2633	2317	1563	1282	717	684	1062	930	1576	785	1775	664	1951	1055	3016	1515	2515	1202	2511	1582	2010	1060	1202	1028	1701	1110	2335	1195	2308	1324	2304	1794	1772	1278	1479	909	1570	1544	1955	1451	2548	1929	2373	2023	1302	847	2088	1269	1418	1150	1736	1268	1416	1100	2196	1783	2288	1888	2519	1828	2534	1939	2234	1363	2865	2181	2649	2138
"orf19.805"	"C2_04160W_A"	"YGR021W"	"Putative protein of unknown function; possibly mitochondrial; Hap43-repressed; Spider biofilm repressed"	"Plate 12"	"G02"	890	866	500	404	1368	1016	364	466	559	641	797	575	560	454	695	964	706	673	1565	1644	688	597	1000	1047	870	500	723	328	1396	709	1399	783	935	462	974	626	652	429	599	576	935	615	710	462	663	406	643	531	918	738	1115	914	812	833	924	858	719	663	924	863	601	496	562	419	667	489	909	765	813	742	1461	1292	954	728	1197	889	1064	960	850	494	981	732	994	929
"orf19.804"	"C2_04180C_A"	"YPR011C"	"Putative mitochondrial carrier family transporter; rat catheter biofilm induced"	"Plate 06"	"C04"	373	2	600	1	818	2	605	2	811	3	461	0	846	1	474	2	474	0	1417	7	524	5	697	1	1371	4	1117	2	874	4	1325	4	1270	5	1046	0	1132	2	747	10	995	8	720	6	807	3	978	7	2076	11	1489	7	767	9	1194	9	723	6	808	10	1164	7	584	3	803	12	621	1	709	1	1057	15	1033	8	834	6	1249	9	1002	5	1235	14	1067	9
"orf19.799"	"C2_04210W_A"	"STE4"	"Beta subunit of heterotrimeric G protein of mating signal transduction pathway; required for mating; transcript is specific to cells homozygous at MTL; induced by alpha pheromone; ortholog of S. cerevisiae Ste4"	"Plate 08"	"G09"	374	346	557	600	250	158	106	227	600	593	741	530	1075	771	832	1140	721	718	317	399	360	320	425	422	740	489	692	252	295	199	756	393	666	396	598	457	225	152	371	375	316	225	566	372	288	181	453	335	597	473	516	308	427	538	694	564	899	583	625	562	230	231	244	150	430	296	566	446	457	432	666	618	1009	1118	533	499	639	485	709	414	649	480	572	529
"orf19.798"	"C2_04220C_A"	"TAF14"	"Putative DNA-binding transcription factor; TFIIF subunit; macrophage-induced protein; possibly required for yeast cell adherence to silicone substrate; mutant has pleiotrophic effects"	"GELCPlate 04"	"G10"	210	173	558	369	367	242	416	430	249	234	489	334	466	329	360	443	184	170	554	521	241	283	495	552	410	219	543	255	441	240	979	600	837	378	572	349	420	245	457	366	413	278	833	563	403	211	531	407	244	154	305	199	782	735	276	229	572	397	330	285	554	463	460	289	501	326	387	323	320	263	474	453	627	489	342	272	752	671	570	364	739	488	540	476
"orf19.797"	"C2_04230W_A"	"BAT2"	"Putative branched chain amino acid aminotransferase; regulated by Gcn4, Gcn2; induced in response to amino acid starvation (3-aminotriazole treatment); early-stage flow model biofilm formation"	"GELCPlate 04"	"F11"	191	265	364	394	607	593	480	734	548	575	949	725	685	638	684	1211	832	1152	656	713	247	328	517	516	361	265	566	319	634	431	724	504	934	635	1411	1030	308	209	484	527	284	186	703	478	992	605	990	909	546	454	256	212	404	421	788	674	953	883	811	943	362	293	360	230	480	415	1271	1185	537	617	781	757	625	638	470	455	505	579	850	554	1003	871	553	506
"orf19.795"	"C2_04250W_A"	"VPS36"	"ESCRT II protein sorting complex subunit; involved in Rim8 processing and proteolytic activation of Rim101, which regulates pH response; role in uptake of Histatin-5 into vacuole"	"Plate 19"	"H08"	1813	1550	2946	2200	2586	2152	1226	1501	1140	1172	1158	844	1963	1588	2309	3058	4150	3820	1632	1683	1284	1165	1313	1258	2969	1705	1601	695	2595	1428	1976	1195	3498	1689	2443	1645	1331	767	1169	993	1315	971	1675	1109	1992	1148	1873	1499	1679	1285	2156	1587	2110	1873	1890	1501	1934	1379	1444	1322	1775	1421	1730	1105	1647	1352	1689	1494	1636	1484	2622	2550	2429	1961	2254	1843	2087	1908	2167	1329	2469	2041	2327	1926
"orf19.794"	"C2_04260W_A"	"SSN3"	"Putative cyclin-dependent protein kinase; mutants are sensitive to growth on H2O2 medium"	"GELCPlate 03"	"C08"	0	1471	0	1515	0	1584	0	811	0	998	0	642	0	1878	0	1623	0	1167	0	540	0	1242	0	1696	0	705	0	742	0	710	0	864	0	1105	0	1524	0	824	0	1098	0	937	0	972	0	970	0	1953	0	1845	0	1110	0	839	0	1072	0	1405	0	1448	0	1231	0	1033	0	1449	0	1407	0	1123	0	1388	0	2417	0	935	0	1707	0	1137	0	1268	0	1683
"orf19.791"	"C2_04290W_A"	"RIM11"	"Ortholog of S. cerevisiae Rim11; a protein kise involved in meiosis and sporulation in S. cerevisiae; mutant is viable"	"GELCPlate 09"	"G01"	226	122	75	64	133	66	37	42	79	91	34	38	776	513	806	734	783	609	640	545	614	492	324	340	100	41	339	167	80	37	677	377	519	239	709	399	113	55	92	73	78	56	1156	678	411	212	602	534	607	420	107	67	73	94	1239	1076	850	779	451	468	126	88	91	55	104	107	421	376	323	293	512	718	240	164	585	449	122	72	829	600	717	597	693	774
"orf19.4520"	"C2_04340C_A"	"YDR248C"	"Putative gluconokinase; rat catheter biofilm induced"	"Plate 12"	"G03"	723	0	1168	0	1654	0	609	0	741	0	1076	0	1435	0	1553	0	1434	0	1296	0	1222	0	1055	0	1085	0	1404	0	871	0	1289	0	1294	0	1296	0	820	0	976	0	863	0	1536	0	1301	0	897	0	869	0	792	0	1035	0	1624	0	1280	0	1254	0	728	0	2416	0	998	0	971	0	1276	0	1475	0	1375	0	1149	0	1399	0	1319	0	1622	0	1431	0
"orf19.4519"	"C2_04350C_A"	"SUV3"	"RNA helicase; mitochondrial RNA catabolism; required for chlamydospore formation, embedded hyphal growth, wild-type respiratory growth, alkaline-induced morphogenesis and SD or Spider biofilm formation; rat catheter biofilm induced"	"Plate 20"	"G08"	215	366	340	356	276	290	223	407	200	335	385	401	217	187	110	182	136	232	303	448	230	277	128	188	268	260	460	223	296	240	796	571	647	489	796	733	335	270	273	339	240	274	503	476	451	332	494	538	405	424	514	644	392	483	481	614	693	817	448	671	498	469	328	343	312	382	362	444	685	760	671	818	387	369	180	175	461	469	567	516	578	505	435	477
"orf19.4518"	"C2_04360W_A"	"YPL150W"	"Protein kinase of unknown function; mutants are viable"	"Plate 06"	"F11"	761	1240	863	1107	1192	1507	295	579	152	300	508	744	518	591	524	1043	544	932	463	793	429	781	578	1059	659	619	757	468	459	374	991	758	900	691	1038	991	1193	1223	318	559	415	538	712	807	386	415	690	957	351	450	296	395	434	582	459	574	903	1140	459	751	482	625	256	322	417	597	617	959	647	860	753	1289	889	1077	728	789	291	219	671	724	963	1096	985	1257
"orf19.4517"	"C2_04370W_A"	""	"Protein of unknown function; Hap43-induced gene"	"GELCPlate 02"	"G09"	380	146	214	109	1098	403	649	504	141	85	753	227	12	1	7	0	3	0	18	13	19	8	53	15	837	262	1268	207	672	182	35	6	37	10	41	17	1098	334	711	306	466	179	19	5	33	10	46	13	678	296	288	125	891	421	17	4	35	10	15	6	492	164	798	224	883	340	28	12	25	14	64	11	980	428	678	286	858	424	28	8	15	10	23	13
"orf19.4506"	"C2_04460W_A"	""	"Homocitrate synthase, minor isoform; repressed by nitric oxide and by hypoxia; protein level decreases in stationary phase cultures; induced by ketoconazole, Spider biofilm induced; flow model biofilm repressed"	"Plate 18"	"C09"	1342	578	1559	543	1611	609	223	158	244	138	266	158	759	321	456	300	356	173	397	208	396	159	218	102	1125	360	1070	287	1060	357	201	73	362	107	183	53	1013	370	602	326	1400	477	181	52	201	58	147	66	1184	467	1072	441	555	280	189	65	149	58	183	100	1082	398	1114	405	863	320	178	95	180	59	118	34	1245	567	1292	550	909	437	288	94	252	103	271	127
"orf19.4503"	"C2_04490W_A"	"LSO2"	"Similar to HMG-box variant of S. pombe; Spider biofilm repressed"	"GELCPlate 05"	"H12"	1119	0	1168	0	846	0	517	0	441	0	1057	0	1880	0	1083	0	1550	0	1026	0	951	0	1132	0	1345	0	1633	0	1364	0	1210	0	2559	0	1447	0	813	0	650	0	612	0	842	0	898	0	924	0	760	0	901	0	942	0	1110	0	884	0	1310	0	970	0	829	0	930	0	1153	0	876	0	1415	0	1643	0	1373	0	1377	0	1261	0	1594	0	1743	0
"orf19.4502"	"C2_04500W_A"	"MOT1"	"Ortholog(s) have ATPase activity, DNA binding, TBP-class protein binding activity"	"GELCPlate 04"	"F12"	613	791	394	534	1186	1349	343	764	786	1106	752	874	485	576	489	931	401	459	256	500	379	516	341	509	462	372	932	492	615	549	339	301	344	267	166	220	1000	766	419	515	485	449	250	174	280	216	143	218	480	565	524	480	829	1144	144	173	251	313	187	252	510	679	765	684	584	683	110	134	216	320	351	431	1001	1283	643	695	817	952	299	236	418	467	374	443
"orf19.4496"	"C2_04540C_A"	"GDT1"	"Predicted Golgi Ca2+/H+ exchanger, involved in regulation of calcium homeostasis"	"Plate 04"	"D04"	838	953	1093	1291	1268	1329	662	1112	839	1246	888	971	1213	1317	1890	3099	1512	2013	1071	1475	725	892	755	1005	1082	802	1607	852	601	545	1457	1182	1228	899	1133	1005	945	817	1357	1541	516	449	1631	1423	1060	875	1242	1526	694	725	642	664	823	993	1122	1262	1585	1836	961	1397	911	932	871	810	578	579	639	833	933	1262	1687	2218	1121	998	1424	1298	1246	1298	1400	1110	1795	1592	1308	1506
"orf19.4494"	"C2_04560W_A"	"KTR2"	"Mannosyltransferase; transcription elevated in chk1, nik1, and sln1 homozygous null mutants; fungal-specific (no human or murine homolog); possibly an essential gene, disruptants not obtained by UAU1 method"	"Plate 20"	"C04"	3220	3250	2764	2209	1355	1216	1236	1486	982	1013	1571	1122	2691	2283	1972	2747	2023	2158	1530	1285	1464	1247	1612	1618	2064	1199	2274	940	1549	976	2016	1444	2693	1340	3180	2038	1628	848	1257	1154	1190	844	1393	905	2342	1352	1962	1732	1220	918	1282	992	2016	1767	2309	1949	1754	1377	1654	1692	1409	1234	1481	976	1232	1074	1444	1192	1256	1116	1822	1624	2270	1483	1583	1227	1541	1363	2008	1277	2199	1674	3012	2626
"orf19.144"	"C2_04640C_A"	"SNU114"	"Protein similar to S. cerevisiae Snu114p, which is an RNA helicase involved in pre-mRNA splicing; likely to be essential for growth, based on an insertional mutagenesis strategy"	"Plate 06"	"B04"	392	211	457	203	1289	548	246	197	474	359	463	269	1	2	0	1	0	0	0	0	2	1	3	0	533	178	503	118	415	184	0	0	1	0	6	0	377	157	397	235	366	151	2	5	2	0	2	0	644	301	259	104	493	268	3	5	5	0	4	2	367	185	360	159	492	327	3	0	1	1	3	1	701	318	575	273	734	333	4	1	5	0	5	1
"orf19.147"	"C2_04660C_A"	"YAK1"	"Predicted serine-threonine protein kinase; involved in hyphal growth regulation and biofilm formation; flow model biofilm induced; induced in core caspofungin response"	"Plate 22"	"F06"	0	1263	0	603	0	895	0	398	0	202	0	114	0	550	0	977	0	1056	0	1140	0	951	0	689	0	1267	0	392	0	715	0	351	0	437	0	594	0	526	0	641	0	178	0	571	0	423	0	936	0	406	0	682	0	589	0	571	0	589	0	569	0	773	0	704	0	366	0	675	0	584	0	874	0	930	0	1746	0	1216	0	471	0	812	0	943
"orf19.151"	"C2_04690C_A"	"TPO5"	"Putative polyamine transporter; mutation confers hypersensitivity to toxic ergosterol analog; hyphal induced; macrophage induced"	"Plate 12"	"F03"	1955	2936	1263	1422	3216	3962	589	1083	780	1184	1418	1578	1825	2150	1460	2883	1435	2160	1395	1824	1022	1409	1530	2212	1166	974	1647	1065	1892	1515	1612	1485	2045	1556	1553	1753	1612	1374	852	1265	1265	1182	1663	1620	1601	1394	1132	1474	1973	1985	1121	1140	933	1409	1565	1867	1471	1512	1222	1875	1176	1198	970	915	1159	1431	1598	1977	1287	1891	1475	1975	1796	2219	1379	1618	1660	1929	1898	1642	1648	1735	1939	2516
"orf19.193"	"C2_04740C_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_19310, C. parapsilosis CDC317 : CPAR2_209710, Candida tenuis NRRL Y-1498 : CANTEDRAFT_113479 and Debaryomyces hansenii CBS767 : DEHA2C15114g"	"GELCPlate 02"	"C08"	272	688	644	1302	334	522	168	565	207	536	311	487	454	955	542	1809	351	804	479	987	170	425	498	1206	327	466	455	352	647	865	758	871	1083	1155	708	1269	579	780	234	467	323	535	502	804	421	566	566	1011	537	883	1227	1994	222	601	381	688	409	673	484	1012	289	698	407	784	499	1170	370	790	334	714	539	1141	601	1239	265	518	426	757	529	754	546	1042	618	1329
"orf19.191"	"C2_04760W_A"	"KIC1"	"Member of the GCK-III subfamily of eukaryotic Ste20p kinases; in RAM cell wall integrity signaling network; role in cell separation, azole sensitivity; required for hyphal growth; constitutive expression is MTL, white-opaque independent"	"GELCPlate 03"	"E11"	908	1666	2003	3357	1212	2039	546	1615	950	2106	895	1376	2441	3621	881	2190	2195	4414	890	1549	1102	2173	823	1708	1209	1247	1684	1146	905	894	1675	1653	1414	1302	1311	1518	889	1092	532	877	855	1195	1157	1363	855	959	916	1676	768	1304	1592	2169	814	1701	625	1028	1071	1503	781	1622	685	973	712	797	796	1243	807	1139	964	1597	1191	1990	1337	2089	1008	1513	1394	1965	1415	1635	1553	2058	1314	2084
"orf19.190"	"C2_04770W_A"	"SWC3"	"Ortholog(s) have role in endoplasmic reticulum organization, histone exchange and Swr1 complex, mitochondrion localization"	"GELCPlate 02"	"C10"	788	1108	481	735	898	1091	218	456	757	1114	508	522	704	890	522	905	689	847	692	813	880	1071	675	876	808	623	403	231	851	672	1362	894	1950	1194	949	971	632	455	569	698	382	421	1021	932	715	500	769	861	530	534	765	736	390	547	818	887	1160	1110	828	1069	458	418	444	353	650	634	635	691	747	845	890	1117	841	869	526	502	441	545	849	666	772	742	1126	1365
"orf19.183"	"C2_04810W_A"	"HIS3"	"Imidazoleglycerol-phosphate dehydratase, enzyme of histidine biosynthesis; functionally complements S. cerevisiae his3-1 mutation; hyphal-induced expression; regulated by Gcn2p and Gcn4p; fungal-specific (no human or murine homolog)"	"Plate 19"	"E05"	1618	0	866	0	1373	0	905	0	743	0	896	0	1570	0	1854	0	918	0	1112	0	1446	0	863	0	1179	0	1099	0	1260	0	1496	0	2033	0	1684	0	1417	0	805	0	1140	0	1537	0	1695	0	1257	0	1114	0	2727	0	1485	0	1393	0	1182	0	1855	0	819	0	1601	0	879	0	1397	0	1209	0	1748	0	1592	0	1566	0	1766	0	1154	0	1564	0	1571	0
"orf19.4128"	"C2_04830W_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_19390, C. parapsilosis CDC317 : CPAR2_209600, Candida tenuis NRRL Y-1498 : CANTEDRAFT_134010 and Debaryomyces hansenii CBS767 : DEHA2C14960g"	"Plate 16"	"F06"	846	4	1315	0	1927	4	665	4	805	3	1309	5	2223	10	1615	7	1546	6	1247	4	839	0	735	5	1706	3	1243	2	1264	5	1479	4	1430	5	1843	2	818	3	747	6	875	5	1311	5	870	5	1396	8	1300	5	1324	3	1160	6	933	7	976	5	891	7	1648	7	958	7	819	4	1095	3	937	5	737	3	1231	6	1265	6	1409	4	1378	4	1362	8	1775	15
"orf19.4123"	"C2_04870C_A"	"THO2"	"Putative THO complex subunit; possibly an essential gene, disruptants not obtained by UAU1 method; protein newly produced during adaptation to the serum"	"GELCPlate 06"	"A05"	827	25	845	27	820	19	411	26	828	28	919	17	336	5	219	7	290	8	404	24	229	6	153	9	330	7	813	8	1203	16	394	2	428	9	455	13	877	18	433	22	470	16	427	6	444	10	356	19	761	19	738	23	662	37	336	18	509	33	330	19	676	19	388	8	500	13	489	9	537	19	463	23	743	11	1151	25	805	24	360	10	395	25	636	27
"orf19.3523"	"C2_04930C_A"	"SGV1"	"Protein kinase of the Cdc2 subfamily involved in hyphal development, virulence; promotes hyphal development independently of Cph1 and Efg1; functionally complements pheromone hypersensitivity of S. cerevisiae sgv1 mutant; Hap43p-repressed"	"GELCPlate 03"	"B12"	1560	1427	1303	906	1344	943	742	820	1053	1107	991	677	1322	798	1827	2073	947	805	1437	1182	1170	874	1180	1003	1083	436	1206	461	1794	925	1605	816	1919	904	2183	1254	1135	550	982	777	1351	882	1324	718	1815	968	1297	993	1732	1243	1376	903	1058	1041	1437	1050	1291	837	1332	1159	1441	1028	1129	726	1383	1060	1144	777	1208	999	1647	1386	1262	861	1170	825	1930	1300	2180	1092	2021	1293	2009	1555
"orf19.3526"	"C2_04940C_A"	"ITR2"	"MFS inositol transporter; uptake of exogenous inositol; 12 transmembrane motifs; expressed in rich medium; fluconazole, caspofungin repressed; possibly essential (UAU1 method); flow model, rat catheter and Spider biofilm induced"	"Plate 07"	"C09"	684	0	1087	0	1270	0	410	0	534	0	1025	0	426	0	553	0	527	0	505	0	383	0	482	0	739	0	487	0	738	0	779	0	1278	0	1158	0	680	0	695	0	659	0	543	0	812	0	814	0	1037	0	641	0	703	0	778	0	861	0	633	0	589	0	1045	0	576	0	634	0	623	0	795	0	1305	0	1033	0	922	0	823	0	1029	0	906	0
"orf19.3527"	"C2_04950C_A"	"CYT1"	"Cytochrome c1; induced in high iron; alkaline repressed; possibly an essential gene, disruptants not obtained by UAU1 method; Hap43-repressed; Spider biofilm repressed"	"GELCPlate 01"	"B05"	285	429	239	304	216	269	204	394	119	227	116	166	384	496	97	233	358	572	448	704	456	627	304	567	946	801	1374	981	1004	895	1629	1470	1983	1453	1443	1324	1303	1152	1196	1655	817	820	1392	1472	1350	1326	1336	2073	1427	1762	1001	1193	1022	1760	1084	1341	992	1238	1205	1856	1197	1276	1637	1676	1031	1386	1306	1871	1309	1753	1212	1654	1427	1577	1106	1190	1225	1445	1055	1030	1182	1245	1067	1390
"orf19.3530"	"C2_04980C_A"	"CKA2"	"Catalytic alpha-subunit of protein kinase CK2; interaction with calcineurin pathway affects fluconazole sensitivity; synthetically lethal with CKA1; attenuated virulence in a mouse oropharyngeal candidiasis but not in a systemic mouse model"	"GELCPlate 03"	"C03"	1092	1279	921	816	798	768	664	878	500	567	521	495	1258	1143	1811	2770	1540	1702	805	811	1101	1225	312	377	823	461	914	447	859	506	1181	923	1723	963	2290	1655	689	493	577	634	626	526	1280	839	948	620	1221	1143	890	678	588	535	526	638	1590	1468	1545	1533	1807	1853	417	347	803	644	454	412	1440	1445	1216	1095	1218	1081	884	701	947	831	623	564	1447	859	1246	955	1585	1493
