orf19	names
orf19.286	orf19.286
orf19.290	KRE5
orf19.297	DTD2
orf19.299	ECM14
orf19.300	AIP2
orf19.301	PGA18
orf19.304	orf19.304
orf19.306	USO5
orf19.307	HFI1_S.cer
orf19.308	SNG1_S.cer
orf19.309	DAL5
orf19.313	DAL4
orf19.314	STB6_S.cer
orf19.318	IBA57_S.cer
orf19.331	MTQ2_S.cer
orf19.330.1	RUB1
orf19.333	FCY2
orf19.338	YMR196W_S.cer
orf19.339	NDE1
orf19.341	orf19.341
orf19.345	UGA2_S.cer
orf19.349	NCA2_S.cer
orf19.350	PRE9
orf19.351	YPR153W_S.cer
orf19.354	ICP55_S.cer
orf19.355	orf19.355
orf19.6956	DAL9
orf19.6953	IRS4
orf19.6952	HDA2_S.cer
orf19.6951	DPL1_S.cer
orf19.6933	RRD2_S.cer
orf19.6930	SOL1
orf19.6928	SAP9
orf19.2810	AAP1
orf19.2803	HEM13
orf19.5858	EGD2
orf19.5859	DAL8
orf19.5862	AFP99
orf19.5865	PRP2_S.cer
orf19.5869	BSD2_S.cer
orf19.5894	YEL023C_S.cer
orf19.5903	RAX1
orf19.5906	ADE2
orf19.5908	TEC1
orf19.5911	CMK1
orf19.5915	DUR35
orf19.5917	STP1
orf19.5919	MEA1
orf19.5924	ZCF31
orf19.5925	AIM6_S.cer
orf19.5926	ARG11
orf19.5931	ARV1
orf19.5932	CSC1_S.cer
orf19.5934	TOP3_S.cer
orf19.5938	SEN1
orf19.5949	FAS2
orf19.5953	SFP1
orf19.5954	AMA1_S.cer
orf19.5958	CDR2
orf19.5962	HGT4
orf19.5964	ARF2
orf19.5965	UFD2_S.cer
orf19.5966	orf19.5966
orf19.5968	RDI1
orf19.5970	SRS2_S.cer
orf19.5971	MTC6_S.cer
orf19.5975	TRY4
orf19.5978	orf19.5978
orf19.5986	THI4
orf19.5989	HRP1_S.cer
orf19.5992	WOR2
orf19.5994	RHB1
orf19.5996.1	RPS19A
orf19.5999	DYN1
orf19.6000	CDR1
orf19.6007	orf19.6007
orf19.6975	YST1
orf19.6980	RTK1_S.cer
orf19.6981	YKR051W_S.cer
orf19.6984	orf19.6984
orf19.6985	TEA1
orf19.6986	orf19.6986
orf19.6988	OST1
orf19.6990	orf19.6990
orf19.6991	PRE3
orf19.6992	QDR2
orf19.6993	GAP2
orf19.6994	BAT22
orf19.6995	ATO6
orf19.7001	YCK2
orf19.7002	orf19.7002
orf19.7347	UBC6_S.cer
orf19.7350	RCT1
orf19.7355	SSN8
orf19.7359	CRZ1
orf19.7360	SGF11_S.cer
orf19.7364	orf19.7364
orf19.7365	FYV10_S.cer
orf19.7367	UBP1
orf19.7369	TRM12
orf19.7370	YPQ1_S.cer
orf19.7372	MRR1
orf19.7374	CTA4
orf19.7376	orf19.7376
orf19.7377	ASE1
orf19.7382	CAM1
orf19.7385	LEE1_S.cer
orf19.7386	MBA1_S.cer
orf19.7387	ELP3
orf19.7389	REV3
orf19.7391	OCH1
orf19.7393	UTR1_S.cer
orf19.7396	orf19.7396
orf19.7397	YPR022C_S.cer
orf19.7414	ALS6
orf19.7412	MUB1
orf19.7410	CYM1
orf19.7404	CHA1_S.cer
orf19.7403	YML020W_S.cer
orf19.7401	ISW2
orf19.7400	ALS7
orf19.7427	YML018C_S.cer
orf19.7428	APN1
orf19.7436	AAF1
orf19.7436.1	ECM15
orf19.7437	YJL218W_S.cer
orf19.7440	HST6
orf19.7444	TFB6_S.cer
orf19.7445	VID24_S.cer
orf19.7446	OPI3
orf19.7447	JEN1
orf19.7448	LYS9
orf19.7451	FUN31
orf19.7459	YBR238C_S.cer
orf19.6832	VHC1_S.cer
orf19.6830	orf19.6830
orf19.6829	orf19.6829
orf19.6824	TRY6
orf19.6817	FCR1
orf19.6813	orf19.6813
orf19.6812	PMT2
orf19.6810	TPD3
orf19.6809	PMU1_S.cer
orf19.6805	YDR089W_S.cer
orf19.6804	SRP68_S.cer
orf19.6801	RPD31
orf19.6796	YSA1
orf19.6794	FESUR1
orf19.6789	NUD1_S.cer
orf19.6784	PGA32
orf19.6781	ZFU2
orf19.6779	PRO2
orf19.6778	DRS2_S.cer
orf19.6773	ECM29
orf19.6766	NOP13
orf19.6756	YIP4_S.cer
orf19.6752	RSM10_S.cer
orf19.6751	TRM7_S.cer
orf19.6748	orf19.6748
orf19.6747	DET1_S.cer
orf19.6745	TPI1
orf19.6744	YMR262W_S.cer
orf19.6738	VAN1
orf19.6736	GEP3_S.cer
orf19.6734	TCC1
orf19.6730	YCR016W_S.cer
orf19.6729	TIP120
orf19.6727	RIT1
orf19.6722	RAD4_S.cer
orf19.6719	HIR3_S.cer
orf19.6717	FSH1_S.cer
orf19.6173	STD1
orf19.6178	FBP1
orf19.6180	MCH1_S.cer
orf19.6183	TIM8
orf19.6185	orf19.6185
orf19.367	CNH1
orf19.371	orf19.371
orf19.376	orf19.376
orf19.5634	FRP1
orf19.5635	PGA7
orf19.5636	RBT5
orf19.5639	HIS4
orf19.5640	PEX5
orf19.5641	CAR2
orf19.5643	ECM7
orf19.5645	MET15
orf19.5646	YPL034W_S.cer
orf19.5654	STE24
orf19.5655	orf19.5655
orf19.5657	SWI1
orf19.5658	MNN10
orf19.5661	PTC7
orf19.5662	PEP7
orf19.5663	RCH1
orf19.5664	HOF1
orf19.5665	ARA2_S.cer
orf19.5667	MNR2
orf19.5671	SYP1_S.cer
orf19.5672	MEP2
orf19.5673	OPT7
orf19.5675	ULS1_S.cer
orf19.5676	MAG2_S.cer
orf19.5677	DUR4
orf19.4187	MMM1
orf19.4186	PCT1
orf19.4183	MUC1
orf19.4176	MRPS17_S.cer
orf19.4175	TOK1
orf19.4171	orf19.4171
orf19.4163	YPP1_S.cer
orf19.4160	QRI7_S.cer
orf19.4705	CCA1_S.cer
orf19.4704	ARO1
orf19.4701	ELP6_S.cer
orf19.4699	TGL3_S.cer
orf19.4689	PGA57
orf19.4688	DAG7
orf19.4686	ESL1_S.cer
orf19.4679	AGP2
orf19.4678	YJR107W_S.cer
orf19.4675	ASK1
orf19.4668	orf19.4668
orf19.4658	orf19.4658
orf19.4655	OPT6
orf19.4654	orf19.4654
orf19.4653	orf19.4653
orf19.4652	orf19.4652
orf19.4651	PGA53
orf19.4650	ILV6
orf19.4649	ZCF27
orf19.4639	orf19.4639
orf19.4637	HRT3_S.cer
orf19.4630	CPA1
orf19.4629	BUL1_S.cer
orf19.4624	HRT2
orf19.4623.3	NHP6A
orf19.4621	PBY1_S.cer
orf19.4617	MAK3_S.cer
orf19.4615	RXT2_S.cer
orf19.4614	ATG11_S.cer
orf19.4612	orf19.4612
orf19.4610	orf19.4610
orf19.4608	PDC12
orf19.4605	TYR1
orf19.4603	ARL1
orf19.4599	PHO89
orf19.4594	CLC1
orf19.4593	RGA2
orf19.4592	HSX11
orf19.4587	HGH1
orf19.4584	PHO114
orf19.4579	ERV29
orf19.4577	GPB1_S.cer
orf19.4575	YPL109C_S.cer
orf19.4573	ZCF26
orf19.4571	orf19.4571
orf19.4569	orf19.4569
orf19.4568	ZCF25
orf19.4563	YMR310C_S.cer
orf19.4560	BFR1
orf19.2772	HOS3
orf19.2771	BEM3
orf19.2767	PGA59
orf19.2765	PGA62
orf19.2758	PGA38
orf19.2755	PRE7_S.cer
orf19.2753	ZCF15
orf19.2752	ADR1
orf19.2751	orf19.2751
orf19.2749	YDR132C_S.cer
orf19.2748	ARG83
orf19.2747	RGT1
orf19.2738	SUL2
orf19.2721	CDC123_S.cer
orf19.2711	ELP2_S.cer
orf19.2709	ZUO1
orf19.2706	CRH11
orf19.2703	EAR1_S.cer
orf19.2697	UBR2_S.cer
orf19.2695	UBR1
orf19.2693	GST2
orf19.2690	MGM1_S.cer
orf19.2681	RBT7
orf19.2678	BUB1
orf19.2676	IKI1_S.cer
orf19.2674	orf19.2674
orf19.2673	NSE3_S.cer
orf19.2671	orf19.2671
orf19.2670	HTD2_S.cer
orf19.2669	orf19.2669
orf19.2665	MSN5
orf19.1439	IPK1
orf19.3362	orf19.3362
orf19.3363	VTC4
orf19.3365	DAO2
orf19.3367	MRPL22_S.cer
orf19.3368	orf19.3368
orf19.3369	MOH1
orf19.3370	DOT4
orf19.3380	HWP2
orf19.1327	RBT1
orf19.1326	orf19.1326
orf19.1325	ECM38
orf19.1324	RAD2
orf19.1323	APL6_S.cer
orf19.1317	OSH3
orf19.1311	SPO75
orf19.1310	RAD34_S.cer
orf19.1308	VBA1_S.cer
orf19.1307	orf19.1307
orf19.1301	TMA17_S.cer
orf19.1300	OMS1_S.cer
orf19.1298	NUP84
orf19.5037	HRQ2
orf19.5038	TRM3_S.cer
orf19.5043	orf19.5043
orf19.5046	RAM1
orf19.789.1	SRP14_S.cer
orf19.789	PYC2
orf19.5312	MET4
orf19.5307	JEN2
orf19.5305	RHD3
orf19.5303	PGA30
orf19.5299	ECM1
orf19.5297	TFB1_S.cer
orf19.5295	orf19.5295
orf19.5294	PDB1
orf19.5293	orf19.5293
orf19.5292	AXL2
orf19.5291	SCS3_S.cer
orf19.1427	THI73_S.cer
orf19.1422	FZO1
orf19.1421	DAL3_S.cer
orf19.3846	LYS4
orf19.3845	FGR3
orf19.3843	SEC66_S.cer
orf19.3841	ATG1
orf19.3840	SAK1_S.cer
orf19.3839	SAP10
orf19.3838	EFB1
orf19.3829	PHR1
orf19.3827	OMA1
orf19.3825	RCE1
orf19.3823	ZDS1
orf19.3822	SCS7
orf19.3821	orf19.3821
orf19.3815	UBP7_S.cer
orf19.3811	GYP1
orf19.3810	MTD1_S.cer
orf19.3809	BAS1
orf19.3803	MNN22
orf19.3799	RTN1_S.cer
orf19.3795	AGP3
orf19.3794	CSR1
orf19.3792	PAT1_S.cer
orf19.3788.1	RPL30
orf19.3788	SPC34
orf19.3787	KAE1_S.cer
orf19.3785	CWC23_S.cer
orf19.3777	IMG2
orf19.3775	SSK2
orf19.3770	ARG8
orf19.738	MYO5
orf19.742	ALD6
orf19.744	GDB1
orf19.748	NUP145_S.cer
orf19.6858	EDC3
orf19.6863	VPH1
orf19.1291	ABZ1
orf19.1792	CDC16_S.cer
orf19.1793	HSV2_S.cer
orf19.1795	PUF3
orf19.1797	orf19.1797
orf19.1799	GAP5
orf19.1800	TDA6_S.cer
orf19.1235	HOM3
orf19.1236	GVP36
orf19.1237	ARO9
orf19.1239	orf19.1239
orf19.1240	YPR117W_S.cer
orf19.1249	HIS6_S.cer
orf19.1250	FAF1_S.cer
orf19.1255	ZCF5
orf19.1260	LEA1
orf19.1263	CFL1
orf19.1264	CFL2
orf19.1270	FRE3
orf19.1275	GAT1
orf19.1276	orf19.1276
orf19.4410	ALG1
orf19.4413	CMD1
orf19.4414	orf19.4414
orf19.4416	VPS13
orf19.4418	FMT1
orf19.4718	TRP5
orf19.2921	PAC2_S.cer
orf19.2910	PGA43
orf19.2909	ERG26
orf19.2908	orf19.2908
orf19.2906	PGA41
orf19.2889	IES6_S.cer
orf19.2887	YMR295C_S.cer
orf19.2882	XUT1
orf19.2881	MNN4
orf19.2879	IFF5
orf19.2878	PGA15
orf19.2877	PDC11
orf19.2876	CBF1
orf19.2875	orf19.2875
orf19.2871	SDH12
orf19.3142	orf19.3142
orf19.3139	orf19.3139
orf19.3136	IMP2'_S.cer
orf19.3135	UBX2_S.cer
orf19.3134	orf19.3134
orf19.3131	OYE32
orf19.3127	CZF1
orf19.3126	CCT6
orf19.3124	MAP1_S.cer
orf19.3122.2	SEM1_S.cer
orf19.3122	ARR3
orf19.3121	GST1
orf19.3113	orf19.3113
orf19.3112	ZRT1
orf19.3111	PRA1
orf19.3106	MET16
orf19.3102	CTA6
orf19.3100	orf19.3100
orf19.3099	TRP4
orf19.3089	UPS2_S.cer
orf19.3086	SEC10
orf19.3083	CDC1_S.cer
orf19.5683	YHR140W_S.cer
orf19.5681	orf19.5681
orf19.5680	orf19.5680
orf19.979	FAS1
orf19.978	BDF1
orf19.976	BRE1
orf19.974	ROT2
orf19.972	SLX1_S.cer
orf19.968	PGA14
orf19.967	NUC1_S.cer
orf19.956	CSF1_S.cer
orf19.955	orf19.955
orf19.953.1	COF1
orf19.949	orf19.949
orf19.948	orf19.948
orf19.947	MRP17
orf19.944	IFG3
orf19.943	FET33
orf19.942	KRE62
orf19.936	orf19.936
orf19.933	UBC13_S.cer
orf19.932	DNF1_S.cer
orf19.927	CGI121_S.cer
orf19.923	THR1
orf19.568	SPE2
orf19.575	HYR3
orf19.577	YDL057W_S.cer
orf19.578	MSB3_S.cer
orf19.583	BNA2_S.cer
orf19.585	MRPL17_S.cer
orf19.1981	IMP2
orf19.1980	GIT4
orf19.1979	GIT3
orf19.1978	GIT2
orf19.1977	URA4
orf19.1973	HAP5
orf19.1970	orf19.1970
orf19.1967	IMG1_S.cer
orf19.1966	BUD23
orf19.1957	CYC3
orf19.1954	PUS4
orf19.1953	orf19.1953
orf19.1949	VPS1
orf19.1946	YMR099C_S.cer
orf19.1942	SGE1
orf19.1940	CAT5_S.cer
orf19.1936	SNF1
orf19.1934	HST3
orf19.1927	SNM1
orf19.4131	EMC1_S.cer
orf19.4136	YBL053
orf19.4143	FYV5
orf19.4144	MCP2_S.cer
orf19.4145	ZCF20
orf19.4147	GLR1
orf19.4148	orf19.4148
orf19.4149.1	RPS11A_S.cer
orf19.4150	GRX7_S.cer
orf19.4151	SPO1
orf19.4152	CEF3
orf19.6297	DEG1_S.cer
orf19.3208	DAL52
orf19.3207	CCN1
orf19.3205	MPRL36
orf19.3204	orf19.3204
orf19.3203	RCY1
orf19.3193	FCR3
orf19.3187	ZNC1
orf19.3177	RIB2_S.cer
orf19.3176	RIM21
orf19.3175	CIR2_S.cer
orf19.3174	CDC24
orf19.3173	SSP120_S.cer
orf19.3170	BUD27_S.cer
orf19.4222	SST2
orf19.4225	LEU3
orf19.4229	DDP1_S.cer
orf19.4230	PRE4_S.cer
orf19.4231	PTH2
orf19.4233	THR4
orf19.4236	RET2
orf19.4240	PER1_S.cer
orf19.4242	CST20
orf19.4252	BUD32_S.cer
orf19.4255	ECM331
orf19.4262	JSN1_S.cer
orf19.4269	orf19.4269
orf19.4274	PUT1
orf19.4278	BYE1_S.cer
orf19.4279	MNN1
orf19.4283	orf19.4283
orf19.4284	BUR2
orf19.4287	orf19.4287
orf19.4288	CTA7
orf19.4290	TRR1
orf19.4294	CYC2_S.cer
orf19.4295	HIR2_S.cer
orf19.4297	CKB2
orf19.4299	MSW1
orf19.4301	SPT21_S.cer
orf19.4306	MDE1_S.cer
orf19.4308	HSL1
orf19.4309	GRP2
orf19.4312	SPT8_S.cer
orf19.4316	orf19.4316
orf19.4318	MIG1
orf19.4324	orf19.4324
orf19.4325	orf19.4325
orf19.4326	SNU66_S.cer
orf19.4334	PGA58
orf19.4339	VPS4
orf19.4341	GAB1_S.cer
orf19.4342	SUT1
orf19.4347	PRR1_S.cer
orf19.2655	BUB3
orf19.2653	orf19.2653
orf19.2649	PCL1
orf19.2644	QCR2
orf19.2640	FUR1
orf19.2639	MRPL20_S.cer
orf19.2637	orf19.2637
orf19.6659	GAP6
orf19.6660	YHR131C_S.cer
orf19.6665	NUP2_S.cer
orf19.6667	SAP30_S.cer
orf19.6668	CUE1_S.cer
orf19.6680	FGR27
orf19.6681	orf19.6681
orf19.1124	orf19.1124
orf19.1121	orf19.1121
orf19.1119	MTR10
orf19.1114	RCF1_S.cer
orf19.1112	BUD7
orf19.1111	TAF9_S.cer
orf19.1108	HAM1
orf19.1107	PAR32_S.cer
orf19.3219	SIA1_S.cer
orf19.3213	JIP4_S.cer
orf19.1287	orf19.1287
orf19.1286	orf19.1286
orf19.1285	NVJ2_S.cer
orf19.3895	CHT2
orf19.3899	SDC1
orf19.3901	orf19.3901
orf19.3910	orf19.3910
orf19.3911	SAH1
orf19.3912	GLN3
orf19.3915	DUG1_S.cer
orf19.3920	MPD1_S.cer
orf19.3921	FSH3_S.cer
orf19.3922	SDT1_S.cer
orf19.3923	PGA37
orf19.3926	RNY11
orf19.3928	orf19.3928
orf19.3929	AIM25_S.cer
orf19.3930	YUH2
orf19.3932	orf19.3932
orf19.3937	TIP41
orf19.3938	RSM26_S.cer
orf19.3941	URA7
orf19.3942	VPS25_S.cer
orf19.3942.1	RPL43A
orf19.3944	GRR1
orf19.3947	SPT4_S.cer
orf19.3950	MSM1
orf19.3952	SRP101
orf19.3954	PSD2
orf19.3957	FOL2_S.cer
orf19.3964	ASH2
orf19.3966	CRH12
orf19.3980	SLH1_S.cer
orf19.3981	MAL31
orf19.3982	orf19.3982
orf19.3983	YGR266W_S.cer
orf19.3991	ROG1_S.cer
orf19.3995	RIM13
orf19.4000	GRF10
orf19.4001	MSS2_S.cer
orf19.4002	DUN1
orf19.4003	TIP20
orf19.4006	PAN5_S.cer
orf19.4009	CNB1
orf19.4010	PAN3
orf19.4011	orf19.4011
orf19.4012	PCL5
orf19.4013	YHR045W_S.cer
orf19.4014	orf19.4014
orf19.4016	COR1_S.cer
orf19.4022	SDH4
orf19.4023	MRP2
orf19.4026	HIS1
orf19.4031	YIR007W_S.cer
orf19.4035	PGA4
orf19.4036	APM1
orf19.4040	ILV3
orf19.4044	MUM2
orf19.4046	orf19.4046
orf19.4048	DES1
orf19.4051	HTS1
orf19.6336	PGA25
orf19.6328	SDH7_S.cer
orf19.6327	HET1
orf19.6324	VID27
orf19.6323	HPA2
orf19.1180	YER152C_S.cer
orf19.1185	DMA2_S.cer
orf19.1191	HRD3_S.cer
orf19.1193	GNP1
orf19.1196	PKH3
orf19.1200	orf19.1200
orf19.1201	DIA4_S.cer
orf19.1204	APM3_S.cer
orf19.4213	FET3
orf19.4210	CLD1_S.cer
orf19.4208	RAD52
orf19.4204	PET123_S.cer
orf19.4199	SLY41
orf19.4197	YHM2
orf19.4195.1	FCA1
orf19.4195	orf19.4195
orf19.4193.1	RPS13
orf19.3659	RTR1_S.cer
orf19.3658	EMP65_S.cer
orf19.3649	FES1_S.cer
orf19.3646	CTR1
orf19.3641	orf19.3641
orf19.97	CAN1
orf19.99	HAL21
orf19.100	orf19.100
orf19.101	RIM9
orf19.102	AEP1_S.cer
orf19.111	CAN2
orf19.117	SEC9
orf19.118	FAD2
orf19.119	STE14_S.cer
orf19.121	ARC18
orf19.123	RCN1
orf19.125	EBP1
orf19.130	VPS15
orf19.131	orf19.131
orf19.136	QDR3
orf19.137	CST26_S.cer
orf19.3449	HEL2_S.cer
orf19.3445	HOC1
orf19.3444	orf19.3444
orf19.3442	orf19.3442
orf19.3434	TRY5
orf19.3432	orf19.3432
orf19.3428	PDP3_S.cer
orf19.3423	TIF3
orf19.3419	MAE1
orf19.3418	orf19.3418
orf19.3417	ACF2
orf19.3415.1	RPL32
orf19.3415	PTK2
orf19.3412	ATG15
orf19.3407	RAD18
orf19.3406	YHL008C_S.cer
orf19.3402	FPG1
orf19.3401	CTA1
orf19.3399	VPS72_S.cer
orf19.3395	YHK8_S.cer
orf19.3391	ADK1
orf19.685	YHM1
orf19.687	orf19.687
orf19.689	PLB1
orf19.690	PLB2
orf19.691	GPD2
orf19.3507	MCR1
orf19.3505	SLM2
orf19.3455	MFM1_S.cer
orf19.3456	orf19.3456
orf19.3457	SWD3
orf19.3458	VPS68_S.cer
orf19.3459	MCK1_S.cer
orf19.3462	SAR1
orf19.3463	LSG1_S.cer
orf19.3465	RPL10A
orf19.3466	orf19.3466
orf19.3467	SEC27
orf19.3468	ALG11
orf19.3471	orf19.3471
orf19.3480	RSM23_S.cer
orf19.3481	MRH4_S.cer
orf19.3482	NPY1_S.cer
orf19.5517	ADH7_S.cer
orf19.5521	ISA1
orf19.5523	orf19.5523
orf19.5524	orf19.5524
orf19.5530	NAB3
orf19.5531	CDC37
orf19.5532	orf19.5532
orf19.5534	TVP38_S.cer
orf19.5535	FEN2_S.cer
orf19.5539	USE1_S.cer
orf19.5541	MRN1_S.cer
orf19.5548	LYS14
orf19.5550	MRT4
orf19.5552	CRT10_S.cer
orf19.5553	YKL069W_S.cer
orf19.5558	RBF1
orf19.5561	STE23
orf19.5568	VPS51
orf19.5576	CAB1_S.cer
orf19.5580	TEL1
orf19.5587	YLR224W_S.cer
orf19.5588	PGA60
orf19.5592	orf19.5592
orf19.5595	SHE3
orf19.5596	ASA1_S.cer
orf19.5599	MDL2
orf19.5601	orf19.5601
orf19.5604	MDR1
orf19.5605	ALY2_S.cer
orf19.5607	orf19.5607
orf19.5609	orf19.5609
orf19.5610	ARG3
orf19.5611	GRE2_S.cer
orf19.5615	AYR2
orf19.5617	CTI6_S.cer
orf19.5628	DIC1_S.cer
orf19.5629	QCR7
orf19.5630	APA2
orf19.5702	YOR093C_S.cer
orf19.5713	YMX6
orf19.5727	orf19.5727
orf19.5728	orf19.5728
orf19.5729	FGR17
orf19.5730	FDC1_S.cer
orf19.5731	PAD1
orf19.5735	CDC50
orf19.5742	ALS9
orf19.5747	MRP4_S.cer
orf19.5749	SBA1
orf19.5751	ORM1
orf19.5752	SAF1_S.cer
orf19.5755	PHO80_S.cer
orf19.5757	YMR178W_S.cer
orf19.5759	SNQ2
orf19.5760	IHD1
orf19.5762	PGA61
orf19.5768	SNF4
orf19.5771	PBP2
orf19.5772	SWC5_S.cer
orf19.1220	RVS167
orf19.1214	MAP2_S.cer
orf19.4555	ALS4
orf19.1078	HBR2
orf19.1080	orf19.1080
orf19.1083	JLP2_S.cer
orf19.1084	CDC39
orf19.1089	PEX11
orf19.1093	FLO8
orf19.1096	orf19.1096
orf19.2124	orf19.2124
orf19.2129	SPO71_S.cer
orf19.2131	TUL1_S.cer
orf19.2133	LIP4
orf19.2137	orf19.2137
orf19.2146	HAT2
orf19.2149	YPR003C_S.cer
orf19.2151	NAG6
orf19.2157	DAC1
orf19.2158	NAG3
orf19.2160	NAG4
orf19.7124	RVS161
orf19.7115	SAC7
orf19.7114	CSA1
orf19.7112	FRP2
orf19.7111	FIS1_S.cer
orf19.7109	YGL242C_S.cer
orf19.7107	ALB1_S.cer
orf19.7105	FAR1
orf19.7096	YLR001C_S.cer
orf19.7095	FEX1_S.cer
orf19.7092	YLR290C_S.cer
orf19.7091	orf19.7091
orf19.7088	SUA5_S.cer
orf19.7086	KAP114_S.cer
orf19.7083	DCC1
orf19.7080	LEU2
orf19.7077	FRE7_S.cer
orf19.7073	YCL002C_S.cer
orf19.7071	FGR2
orf19.7069	TAE1_S.cer
orf19.7068	MAC1
orf19.7065	PSF3
orf19.7061	YFH7_S.cer
orf19.7059	SWT1_S.cer
orf19.7056	orf19.7056
orf19.7053	GAC1
orf19.7048.1	RPS28B
orf19.7046	MET28
orf19.7044	RIM15
orf19.7038	MVP1_S.cer
orf19.7036	WHI2_S.cer
orf19.7033	PPS1_S.cer
orf19.7030	SSR1
orf19.7018	RPS18
orf19.7017	YOX1
orf19.7016	PHM5
orf19.7011	RRP12_S.cer
orf19.7010	YIL001W_S.cer
orf19.6898	orf19.6898
orf19.6899	orf19.6899
orf19.6900	MDM12
orf19.6901	DCS1_S.cer
orf19.6904	GCN3
orf19.6905	YNL011C_S.cer
orf19.6912	orf19.6912
orf19.6913	GCN2
orf19.6915	MRE11
orf19.6916	ATP11_S.cer
orf19.6918	orf19.6918
orf19.6582	PRE10
orf19.6578	orf19.6578
orf19.6577	FLU1
orf19.6570	NUP
orf19.6569	orf19.6569
orf19.6562	RNH35
orf19.6561	LAT1
orf19.6558	NEL1_S.cer
orf19.6548	ISU1
orf19.6538	VMA11
orf19.6537	NSL1_S.cer
orf19.6533	MSK1
orf19.6531	NUC2
orf19.6522	orf19.6522
orf19.6515	HSP90
orf19.6514	CUP9
orf19.6511	LIG1
orf19.6508	LST7_S.cer
orf19.6506	RCO1_S.cer
orf19.6502	YDL114W_S.cer
orf19.6498	IWR1_S.cer
orf19.6492	orf19.6492
orf19.6481	YPS7
orf19.6477	TRM82_S.cer
orf19.6464	orf19.6464
orf19.6460	PEX1
orf19.6459	DPP3
orf19.6457	YBL086C_S.cer
orf19.3700	TOM70
orf19.3699	TEP1
orf19.3697	FAR11_S.cer
orf19.5180	PRX1
orf19.5175	SSM4_S.cer
orf19.5171	PMT1
orf19.5162	BCK1
orf19.5161	MRPL49_S.cer
orf19.5160	SAP190_S.cer
orf19.5159	DUG3
orf19.5144	PGA28
orf19.5134	orf19.5134
orf19.5133	ZCF29
orf19.5124	RBR3
orf19.1343	MED16
orf19.1341	PRR2
orf19.1339	CPY1
orf19.1336	PUP3
orf19.1333	SNG3
orf19.6705	YEL1_S.cer
orf19.6707	YNL217W_S.cer
orf19.6685	ISY1
orf19.6691	ERC1_S.cer
orf19.6694	orf19.6694
orf19.6699	HIS2_S.cer
orf19.5505	HIS7
orf19.7201	SLA2
orf19.7196	PRB1_S.cer
orf19.7188	RPP1B
orf19.7186	CLB4
orf19.7184	orf19.7184
orf19.7179	SSQ1_S.cer
orf19.7176	NPT1
orf19.7175	HLJ1
orf19.7165	MED9
orf19.7164	ENV7_S.cer
orf19.7161	SUI3
orf19.7158	orf19.7158
orf19.7156	FAA2-3
orf19.7152	orf19.7152
orf19.7151	orf19.7151
orf19.7149	ROY1_S.cer
orf19.7140	orf19.7140
orf19.7128	SYS1
orf19.7539	INO2
orf19.7538	RRM3_S.cer
orf19.7523	MKC1
orf19.7522	orf19.7522
orf19.7521	REP1
orf19.7520	POT1
orf19.7518	ZCF38
orf19.7517	CHT1
orf19.7516	NGS1
orf19.7514	PCK1
orf19.7513	ALK2
orf19.7512	orf19.7512
orf19.7510	KIN2
orf19.7503	CDA2
orf19.7501	NAP1
orf19.7500	PXA1
orf19.7497	CUL3_S.cer
orf19.7495	orf19.7495
orf19.7491	RTT109
orf19.7490	BSC6_S.cer
orf19.7489	LRG1
orf19.7486	MRPL6
orf19.7484	ADE1
orf19.7479	NTH1
orf19.7478	COQ1_S.cer
orf19.7475	PHO81
orf19.7472	IFF4
orf19.7468	VHR1_S.cer
orf19.7466	ACC1
orf19.7464	orf19.7464
orf19.7463	RRT12_S.cer
orf19.7460	TRM13_S.cer
orf19.3282	BMT3
orf19.3275	orf19.3275
orf19.3273	YIH1_S.cer
orf19.3272	TAH1_S.cer
orf19.3267	SWF1_S.cer
orf19.3263	ATO10
orf19.3247	LAA1_S.cer
orf19.3240	ERG27
orf19.3237	UFD4_S.cer
orf19.3232	orf19.3232
orf19.3231	CDC27
orf19.3230	BOI2
orf19.3228	TMN3_S.cer
orf19.3227	FTH2
orf19.3226	NPC2_S.cer
orf19.3225	CWH43
orf19.3222	YGR125W_S.cer
orf19.2517	orf19.2517
orf19.2520	MRPS28_S.cer
orf19.2529	GPI15_S.cer
orf19.2534	PIN4
orf19.2538	PTC2
orf19.2541	YBL055C_S.cer
orf19.2544	PTH2_S.cer
orf19.2545	DOT6
orf19.2551	MET6
orf19.2553	orf19.2553
orf19.2555	URA5
orf19.2563	PRP24_S.cer
orf19.2564	TMA23_S.cer
orf19.2570	MCI4
orf19.2575	BMT6_S.cer
orf19.2580	HST2
orf19.2581	orf19.2581
orf19.2583	PTR2
orf19.2600	SPC98
orf19.2601	HEM1
orf19.2602	OPT1
orf19.2605	PRK1
orf19.2606	HDA1
orf19.2607	orf19.2607
orf19.2608	ADH5
orf19.2612	orf19.2612
orf19.2615	MDL1
orf19.2618	MET2
orf19.3751	FRK1_S.cer
orf19.3740	PGA23
orf19.3738	PGA22
orf19.3736	KAR4
orf19.3727	PHO112
orf19.3721	orf19.3721
orf19.3720	orf19.3720
orf19.176	OPT4
orf19.171	DBP2
orf19.169	CHO2
orf19.168	MTR3_S.cer
orf19.166	ASG1
orf19.2819	orf19.2819
orf19.2821	orf19.2821
orf19.2822	COG2_S.cer
orf19.2823	RFG1
orf19.2827	NDC80_S.cer
orf19.2828	ALF1_S.cer
orf19.2833	PGA34
orf19.2838	orf19.2838
