ID	Name	Genes	Length
827	GO:0006972 hyperosmotic response	orf19.971;orf19.1490;orf19.7388;orf19.5181;orf19.3775;orf19.99;orf19.5031;orf19.6863;orf19.5666;orf19.3328;orf19.4670;orf19.895;orf19.4363	13
830	GO:0006979 response to oxidative stress	orf19.5604;orf19.3672;orf19.4853;orf19.971;orf19.2369.1;orf19.7417;orf19.457;orf19.822;orf19.7551;orf19.113;orf19.439;orf19.7600;orf19.2262;orf19.1623;orf19.6035;orf19.2028;orf19.3612;orf19.4082;orf19.1526;orf19.5219;orf19.655;orf19.2762;orf19.345;orf19.6757;orf19.1754;orf19.3707;orf19.5725;orf19.7325;orf19.5285;orf19.7611;orf19.4208;orf19.5133;orf19.4216;orf19.3268;orf19.2541;orf19.6068;orf19.3507;orf19.6640;orf19.6915;orf19.5553;orf19.3292;orf19.2272;orf19.794;orf19.2324;orf19.3530;orf19.7523;orf19.2782;orf19.2473;orf19.4290;orf19.1760;orf19.2062;orf19.1648;orf19.6742;orf19.2770.1;orf19.4772;orf19.2146;orf19.896;orf19.6816;orf19.2727;orf19.6447;orf19.6000;orf19.87;orf19.7296;orf19.5200;orf19.7160;orf19.1680;orf19.3775;orf19.5024;orf19.6229;orf19.6416;orf19.6073;orf19.1413;orf19.2060;orf19.2693;orf19.3818;orf19.3188;orf19.5279;orf19.726;orf19.7398.1;orf19.3705;orf19.5210;orf19.5911;orf19.5031;orf19.4436;orf19.6059;orf19.5007;orf19.5544;orf19.5034;orf19.4754;orf19.3929;orf19.4150;orf19.4503;orf19.4590;orf19.4317;orf19.518;orf19.5059;orf19.5286;orf19.844;orf19.2268;orf19.1340;orf19.3038;orf19.251;orf19.4147;orf19.2476;orf19.5742;orf19.5417;orf19.1153;orf19.2175;orf19.85;orf19.506;orf19.5180;orf19.1040;orf19.1762;orf19.2863.1;orf19.3537;orf19.86;orf19.7650;orf19.2241;orf19.895;orf19.4022;orf19.243;orf19.5958;orf19.6074;orf19.584;orf19.6460;orf19.3150;orf19.2891;orf19.1721;orf19.2299;orf19.5953;orf19.779;orf19.238;orf19.6800;orf19.1625;orf19.6509;orf19.7293;orf19.5843;orf19.2119	138
831	GO:0006986 response to unfolded protein	orf19.717;orf19.3438;orf19.1896;orf19.6917;orf19.5830;orf19.4980;orf19.1065;orf19.6285;orf19.6367;orf19.2005;orf19.2013;orf19.5751;orf19.1936	13
833	GO:0006995 cellular response to nitrogen starvation	orf19.5994;orf19.3617;orf19.3677;orf19.5672;orf19.7044;orf19.2480.1;orf19.6444;orf19.1364;orf19.2406;orf19.3912;orf19.2014;orf19.4752;orf19.328;orf19.1275;orf19.1614;orf19.2949;orf19.1358;orf19.1936	18
835	GO:0006997 nucleus organization	orf19.3592;orf19.564;orf19.4015;orf19.2485;orf19.5776;orf19.1900;orf19.3801;orf19.5493;orf19.103;orf19.1448.1;orf19.6296;orf19.5004;orf19.3681;orf19.2820;orf19.5040;orf19.306;orf19.2763;orf19.5015;orf19.3736;orf19.1054;orf19.4413;orf19.4203;orf19.6170;orf19.2002;orf19.2081;orf19.3799;orf19.7433;orf19.7511;orf19.676;orf19.2013;orf19.1317;orf19.5184;orf19.4808;orf19.2168.3	34
836	GO:0006998 nuclear envelope organization	orf19.3462;orf19.4427;orf19.4339;orf19.7441;orf19.474;orf19.4657;orf19.6885;orf19.1054;orf19.6217	9
837	GO:0006999 nuclear pore organization	orf19.2485;orf19.1448.1;orf19.3681;orf19.2820;orf19.5040;orf19.1054;orf19.4203;orf19.2002;orf19.2081;orf19.3799;orf19.7433;orf19.7511;orf19.4808;orf19.2168.3	14
839	GO:0007004 telomere maintenance via telomerase	orf19.4045;orf19.5627;orf19.2267;orf19.5934;orf19.7190;orf19.5089;orf19.7101;orf19.666;orf19.2093;orf19.5423	10
841	GO:0007006 mitochondrial membrane organization	orf19.5143;orf19.4577.3;orf19.3946;orf19.6062;orf19.6696;orf19.3462;orf19.3700;orf19.3757;orf19.184;orf19.5491.1;orf19.7386;orf19.5660.1;orf19.680;orf19.6531.1;orf19.3089;orf19.7267;orf19.3154;orf19.6934;orf19.3696;orf19.7358;orf19.415;orf19.991;orf19.357;orf19.4096;orf19.1140;orf19.925;orf19.4294;orf19.4187;orf19.1532;orf19.5796;orf19.6565;orf19.6062.3;orf19.445;orf19.542.2;orf19.6100;orf19.4022;orf19.4001;orf19.3782.2;orf19.6183;orf19.2754;orf19.3321;orf19.1352;orf19.458;orf19.4396;orf19.4620	45
842	GO:0007007 inner mitochondrial membrane organization	orf19.5143;orf19.4577.3;orf19.6062;orf19.6696;orf19.3700;orf19.3757;orf19.5491.1;orf19.7386;orf19.5660.1;orf19.3089;orf19.3154;orf19.415;orf19.357;orf19.4096;orf19.1140;orf19.5796;orf19.6565;orf19.6062.3;orf19.4022;orf19.3782.2;orf19.6183;orf19.2754;orf19.1352;orf19.4396;orf19.4620	25
843	GO:0007008 outer mitochondrial membrane organization	orf19.184;orf19.6531.1;orf19.7267;orf19.3696;orf19.7358;orf19.991;orf19.925;orf19.4187;orf19.1532;orf19.542.2	10
844	GO:0007009 plasma membrane organization	orf19.7038;orf19.7510;orf19.2972;orf19.669;orf19.4216;orf19.5931;orf19.3249;orf19.5960;orf19.4890;orf19.3929;orf19.7124;orf19.1861;orf19.260;orf19.6414.3;orf19.738;orf19.1220	16
845	GO:0007010 cytoskeleton organization	orf19.3248;orf19.5551;orf19.3551;orf19.5671;orf19.564;orf19.6536;orf19.7295;orf19.3013;orf19.2726;orf19.6071;orf19.5357;orf19.4715;orf19.6789;orf19.2791;orf19.6610;orf19.6034;orf19.2204.2;orf19.2626;orf19.953.1;orf19.5221;orf19.3235;orf19.6010;orf19.7510;orf19.5188;orf19.2641;orf19.5691;orf19.2649;orf19.2340;orf19.7201;orf19.3862;orf19.1185;orf19.4427;orf19.4593;orf19.3976;orf19.3414;orf19.7353;orf19.1367;orf19.2229;orf19.5528;orf19.4192;orf19.3505;orf19.6573;orf19.2437;orf19.712;orf19.2190;orf19.3555;orf19.5163;orf19.3474;orf19.2286;orf19.886;orf19.1428;orf19.6029;orf19.1448.1;orf19.2828;orf19.3534;orf19.1553;orf19.4127;orf19.7477;orf19.6044;orf19.5011;orf19.2727;orf19.1444;orf19.7450;orf19.3680;orf19.403;orf19.5376;orf19.2290;orf19.7377;orf19.6362;orf19.215;orf19.548;orf19.6810;orf19.4927;orf19.1238;orf19.5325;orf19.3174;orf19.5999;orf19.2699;orf19.17;orf19.2642;orf19.596.2;orf19.1381;orf19.5015;orf19.5960;orf19.7537;orf19.6792;orf19.5007;orf19.5544;orf19.3856;orf19.5087;orf19.698;orf19.663;orf19.4890;orf19.1712;orf19.3496;orf19.3788;orf19.1055;orf19.3153;orf19.390;orf19.2843;orf19.4413;orf19.6933;orf19.7292;orf19.6170;orf19.7124;orf19.5664;orf19.2771;orf19.7489;orf19.239;orf19.3267;orf19.3683;orf19.4675;orf19.2416.1;orf19.486;orf19.20;orf19.4837;orf19.5008.1;orf19.7308;orf19.2600;orf19.3417;orf19.4473;orf19.1223;orf19.4597;orf19.3330;orf19.3001;orf19.6598;orf19.5410;orf19.1747;orf19.4435;orf19.1236;orf19.676;orf19.1482;orf19.1949;orf19.3697;orf19.4909;orf19.1474;orf19.4257;orf19.6414.3;orf19.738;orf19.3545;orf19.1220;orf19.730;orf19.728;orf19.6294;orf19.1683;orf19.2434;orf19.7293;orf19.5076;orf19.3687;orf19.6648;orf19.5901;orf19.708;orf19.1936;orf19.3871	154
846	GO:0007015 actin filament organization	orf19.1711;orf19.6536;orf19.5357;orf19.3873;orf19.953.1;orf19.578;orf19.1699;orf19.7201;orf19.7036;orf19.3505;orf19.2437;orf19.6534.2;orf19.505;orf19.2605;orf19.2289;orf19.7388;orf19.4127;orf19.1444;orf19.1850;orf19.4395;orf19.4927;orf19.6770;orf19.6151;orf19.17;orf19.1381;orf19.5015;orf19.7537;orf19.5544;orf19.5087;orf19.2843;orf19.2228;orf19.7292;orf19.7124;orf19.3683;orf19.2416.1;orf19.5968;orf19.121;orf19.382;orf19.1435;orf19.3330;orf19.6598;orf19.3230;orf19.6414.3;orf19.940;orf19.3251;orf19.5076	46
847	GO:0007017 microtubule-based process	orf19.3248;orf19.5551;orf19.4853;orf19.3551;orf19.6987;orf19.564;orf19.4015;orf19.4151;orf19.4715;orf19.6789;orf19.1941;orf19.6610;orf19.6034;orf19.6010;orf19.2641;orf19.2340;orf19.3667;orf19.643;orf19.970;orf19.1185;orf19.3976;orf19.7353;orf19.1367;orf19.4192;orf19.5265;orf19.6148;orf19.2437;orf19.712;orf19.6534.2;orf19.5163;orf19.3474;orf19.2286;orf19.1428;orf19.1448.1;orf19.2828;orf19.3534;orf19.7477;orf19.5011;orf19.7377;orf19.4927;orf19.1238;orf19.5325;orf19.5999;orf19.2763;orf19.5345;orf19.596.2;orf19.5015;orf19.6792;orf19.3856;orf19.5087;orf19.6285;orf19.3788;orf19.5531;orf19.4413;orf19.6933;orf19.4203;orf19.6170;orf19.5534;orf19.2081;orf19.4675;orf19.486;orf19.6243;orf19.4837;orf19.5008.1;orf19.7308;orf19.2600;orf19.4473;orf19.1223;orf19.3001;orf19.5410;orf19.1747;orf19.4435;orf19.676;orf19.1482;orf19.6357;orf19.3545;orf19.6424;orf19.6294;orf19.2434;orf19.7293;orf19.485;orf19.708;orf19.1936;orf19.3871	84
848	GO:0007018 microtubule-based movement	orf19.3248;orf19.6987;orf19.564;orf19.4015;orf19.4715;orf19.1941;orf19.6610;orf19.6034;orf19.2641;orf19.3667;orf19.7353;orf19.5265;orf19.6148;orf19.712;orf19.1448.1;orf19.5011;orf19.5999;orf19.2763;orf19.6170;orf19.6243;orf19.7308;orf19.5410;orf19.1747;orf19.676;orf19.6357;orf19.6294;orf19.708	27
849	GO:0007019 microtubule depolymerization	orf19.6034;orf19.7353;orf19.712;orf19.4435;orf19.676	5
850	GO:0007020 microtubule nucleation	orf19.3248;orf19.6610;orf19.1238;orf19.2600;orf19.708	5
851	GO:0007021 tubulin complex assembly	orf19.1738.1;orf19.5985;orf19.6601.1;orf19.2471;orf19.2925;orf19.2305;orf19.2510;orf19.1273;orf19.2921	9
854	GO:0007029 endoplasmic reticulum organization	orf19.3956;orf19.5857;orf19.2340;orf19.1212;orf19.3647;orf19.593;orf19.74;orf19.3680;orf19.7141;orf19.2151;orf19.190;orf19.1054;orf19.698;orf19.2911;orf19.6217;orf19.3799;orf19.1462;orf19.5595;orf19.6871;orf19.2168.3	20
855	GO:0007030 Golgi organization	orf19.4236;orf19.4579;orf19.2629;orf19.3647;orf19.7409;orf19.3052;orf19.6039;orf19.4993;orf19.4440;orf19.2447;orf19.479.2;orf19.2518;orf19.5015;orf19.2940;orf19.430;orf19.3558;orf19.3951;orf19.6293;orf19.3128	19
856	GO:0007031 peroxisome organization	orf19.6525;orf19.6987;orf19.6973;orf19.4041;orf19.5640;orf19.3573;orf19.5660;orf19.7481;orf19.2113;orf19.1933;orf19.7282;orf19.5943;orf19.2009;orf19.7111;orf19.2313;orf19.2752;orf19.991;orf19.5015;orf19.5575;orf19.6434;orf19.5768;orf19.1267;orf19.6134;orf19.3799;orf19.2370;orf19.4426;orf19.89;orf19.3546;orf19.6460;orf19.1949;orf19.6254;orf19.1756;orf19.2168.3	33
857	GO:0007032 endosome organization	orf19.897;orf19.2031;orf19.4339;orf19.6364;orf19.945;orf19.7207;orf19.6040;orf19.2447;orf19.3992;orf19.3007;orf19.247;orf19.1670;orf19.7216	13
858	GO:0007033 vacuole organization	orf19.3677;orf19.7196;orf19.2726;orf19.6802;orf19.2848;orf19.3998;orf19.4119;orf19.3764;orf19.2245;orf19.2549;orf19.6478;orf19.4339;orf19.7611;orf19.1567;orf19.2190;orf19.6364;orf19.5249;orf19.2089;orf19.1513;orf19.2480.1;orf19.5584;orf19.6981;orf19.6382;orf19.5755;orf19.6550;orf19.1409;orf19.3052;orf19.6848;orf19.3749;orf19.1960;orf19.745;orf19.1597;orf19.5974;orf19.5214;orf19.4036;orf19.4614;orf19.5533;orf19.4993;orf19.337;orf19.783;orf19.3841;orf19.5033;orf19.2769;orf19.2518;orf19.5618;orf19.5568;orf19.2622;orf19.3363;orf19.5015;orf19.5007;orf19.2974;orf19.6863;orf19.4890;orf19.4521;orf19.4413;orf19.7642;orf19.130;orf19.1182;orf19.6020;orf19.3267;orf19.2698;orf19.5322;orf19.6243;orf19.4292;orf19.1462;orf19.6598;orf19.6588;orf19.3230;orf19.4858;orf19.1236;orf19.5875;orf19.4242;orf19.4381;orf19.5662;orf19.4403;orf19.4865;orf19.5886;orf19.2982;orf19.5455;orf19.5947	80
860	GO:0007035 vacuolar acidification	orf19.5395;orf19.2245;orf19.4427;orf19.5559;orf19.1513;orf19.5237;orf19.1680;orf19.2895;orf19.4954;orf19.2343.1;orf19.5618;orf19.6590;orf19.6540;orf19.7354;orf19.6863;orf19.7642;orf19.806;orf19.4292;orf19.1223;orf19.4201;orf19.645.1;orf19.6634;orf19.5886	23
862	GO:0007039 protein catabolic process in the vacuole	orf19.7445;orf19.7196;orf19.6671;orf19.1628;orf19.3591;orf19.2005;orf19.2242	7
864	GO:0007049 cell cycle	orf19.7247;orf19.4616;orf19.564;orf19.3373;orf19.4044;orf19.91;orf19.5776;orf19.6010;orf19.59;orf19.3764;orf19.4427;orf19.2216;orf19.6874;orf19.1900;orf19.6891;orf19.4192;orf19.6222;orf19.7053;orf19.3760;orf19.6915;orf19.6444;orf19.4401;orf19.4560;orf19.1648;orf19.5004;orf19.4266;orf19.1282;orf19.3736;orf19.6285;orf19.793;orf19.1874;orf19.239;orf19.1476;orf19.513;orf19.245;orf19.6046;orf19.6091;orf19.810;orf19.943;orf19.567;orf19.3459;orf19.6155;orf19.2093;orf19.1555;orf19.2559;orf19.2119;orf19.708	47
865	GO:0007051 spindle organization	orf19.5551;orf19.3551;orf19.6789;orf19.6610;orf19.6034;orf19.6010;orf19.2340;orf19.7353;orf19.1367;orf19.4192;orf19.712;orf19.5163;orf19.3474;orf19.1428;orf19.7377;orf19.1238;orf19.5325;orf19.596.2;orf19.6792;orf19.3856;orf19.5087;orf19.3788;orf19.4413;orf19.6933;orf19.4675;orf19.4837;orf19.5008.1;orf19.7308;orf19.2600;orf19.4473;orf19.1223;orf19.4435;orf19.676;orf19.1482;orf19.3545;orf19.2434;orf19.7293;orf19.708;orf19.3871	39
866	GO:0007052 mitotic spindle organization	orf19.5551;orf19.3551;orf19.6610;orf19.6034;orf19.2340;orf19.7353;orf19.1367;orf19.712;orf19.3474;orf19.1428;orf19.7377;orf19.1238;orf19.5325;orf19.596.2;orf19.6792;orf19.3856;orf19.3788;orf19.4413;orf19.6933;orf19.4675;orf19.4837;orf19.5008.1;orf19.7308;orf19.2600;orf19.4473;orf19.1223;orf19.4435;orf19.1482;orf19.2434;orf19.708;orf19.3871	31
867	GO:0007059 chromosome segregation	orf19.3248;orf19.5551;orf19.5954;orf19.2485;orf19.6670;orf19.3080;orf19.6789;orf19.6196;orf19.1941;orf19.6034;orf19.820;orf19.6010;orf19.2710;orf19.643;orf19.4367;orf19.7353;orf19.1367;orf19.4192;orf19.1622;orf19.5281;orf19.712;orf19.6537;orf19.964;orf19.3474;orf19.6163;orf19.5569;orf19.4105;orf19.4849;orf19.5701;orf19.5335;orf19.866;orf19.3728;orf19.3295;orf19.2876;orf19.5093;orf19.3476;orf19.6851;orf19.955;orf19.5325;orf19.2827;orf19.6544;orf19.7344;orf19.5999;orf19.1429;orf19.6049;orf19.1468;orf19.6285;orf19.3947;orf19.1484;orf19.3356;orf19.3623;orf19.2964;orf19.239;orf19.2519;orf19.7308;orf19.1040;orf19.3345;orf19.1251;orf19.3550;orf19.3231;orf19.2099;orf19.5367;orf19.3459;orf19.7663;orf19.1668;orf19.1883	66
868	GO:0007062 sister chromatid cohesion	orf19.4616;orf19.564;orf19.2326;orf19.5320;orf19.2000;orf19.5934;orf19.776;orf19.576;orf19.2216;orf19.7621;orf19.4367;orf19.6463;orf19.4105;orf19.3239;orf19.658;orf19.866;orf19.7083;orf19.2678;orf19.3035;orf19.7658;orf19.2763;orf19.7232;orf19.2369;orf19.4437;orf19.2964;orf19.262;orf19.20;orf19.2365;orf19.2266;orf19.7035;orf19.7023;orf19.676;orf19.3130;orf19.1834;orf19.6247;orf19.4136;orf19.2029	37
869	GO:0007063 regulation of sister chromatid cohesion	orf19.3080;orf19.6010;orf19.776;orf19.2216;orf19.3856;orf19.3550;orf19.2884;orf19.2093	8
870	GO:0007064 mitotic sister chromatid cohesion	orf19.4616;orf19.564;orf19.2326;orf19.5320;orf19.2000;orf19.5934;orf19.576;orf19.2216;orf19.7621;orf19.4367;orf19.6463;orf19.4105;orf19.3239;orf19.658;orf19.866;orf19.7083;orf19.2763;orf19.7232;orf19.2369;orf19.262;orf19.2365;orf19.676;orf19.3130;orf19.1834;orf19.6247;orf19.4136	26
871	GO:0007076 mitotic chromosome condensation	orf19.5053;orf19.2873;orf19.3080;orf19.96;orf19.2216;orf19.6924;orf19.1622;orf19.964;orf19.7634;orf19.2835;orf19.3623;orf19.1251;orf19.1883	13
872	GO:0007088 regulation of mitotic nuclear division	orf19.820;orf19.6010;orf19.7286;orf19.7571;orf19.643;orf19.1185;orf19.5441;orf19.2655;orf19.5388;orf19.7053;orf19.2084;orf19.3474;orf19.4560;orf19.5701;orf19.122;orf19.2678;orf19.3476;orf19.6851;orf19.6810;orf19.5325;orf19.7227;orf19.5827;orf19.4557;orf19.3856;orf19.1468;orf19.6285;orf19.2440;orf19.1040;orf19.6046;orf19.3550;orf19.6357;orf19.5085;orf19.1792;orf19.7293;orf19.6437	35
873	GO:0007089 traversing start control point of mitotic cell cycle	orf19.6926;orf19.4536;orf19.6494;orf19.6028;orf19.1960;orf19.4969;orf19.3806;orf19.5101;orf19.6846;orf19.6648;orf19.843	11
875	GO:0007093 mitotic cell cycle checkpoint signaling	orf19.4206;orf19.5166;orf19.2873;orf19.926;orf19.2326;orf19.2641;orf19.643;orf19.1185;orf19.5441;orf19.2655;orf19.4192;orf19.6573;orf19.7053;orf19.6915;orf19.3474;orf19.7402;orf19.1648;orf19.6913;orf19.5701;orf19.122;orf19.5335;orf19.658;orf19.5011;orf19.6080;orf19.4275;orf19.976;orf19.2678;orf19.3476;orf19.6851;orf19.6810;orf19.1434;orf19.5485;orf19.7227;orf19.3000;orf19.4308;orf19.5242;orf19.5827;orf19.3561;orf19.4557;orf19.1468;orf19.6285;orf19.663;orf19.1507;orf19.6936;orf19.2389;orf19.7195;orf19.20;orf19.2365;orf19.5580;orf19.7035;orf19.1040;orf19.245;orf19.3550;orf19.4867;orf19.1223;orf19.3001;orf19.3014;orf19.676;orf19.3697;orf19.6357;orf19.940;orf19.2728;orf19.7293;orf19.1283;orf19.6213	65
876	GO:0007094 mitotic spindle assembly checkpoint signaling	orf19.643;orf19.1185;orf19.5441;orf19.2655;orf19.7053;orf19.3474;orf19.5701;orf19.122;orf19.2678;orf19.3476;orf19.6851;orf19.6810;orf19.7227;orf19.5827;orf19.4557;orf19.6285;orf19.1040;orf19.3550;orf19.6357;orf19.7293	20
878	GO:0007096 regulation of exit from mitosis	orf19.5166;orf19.6789;orf19.2641;orf19.1185;orf19.4427;orf19.5528;orf19.4192;orf19.2084;orf19.5042;orf19.5011;orf19.6080;orf19.2320;orf19.3174;orf19.6092;orf19.5827;orf19.3561;orf19.3856;orf19.1468;orf19.4890;orf19.1507;orf19.390;orf19.3356;orf19.20;orf19.2238;orf19.1223;orf19.3001;orf19.4242;orf19.676;orf19.940;orf19.3545;orf19.5184;orf19.5041	32
879	GO:0007097 nuclear migration	orf19.564;orf19.4015;orf19.4715;orf19.6034;orf19.2641;orf19.5691;orf19.96;orf19.3976;orf19.7353;orf19.6148;orf19.1448.1;orf19.5011;orf19.548;orf19.5999;orf19.2763;orf19.5015;orf19.6170;orf19.6243;orf19.7308;orf19.5410;orf19.1747;orf19.676;orf19.6294;orf19.708	24
882	GO:0007114 cell budding	orf19.5292;orf19.4699;orf19.7359;orf19.6787;orf19.7079;orf19.1693;orf19.4349;orf19.2190;orf19.4645;orf19.5903;orf19.2324;orf19.886;orf19.1960;orf19.6362;orf19.5426;orf19.3765;orf19.5087;orf19.390;orf19.1835;orf19.4413;orf19.1842;orf19.3088;orf19.4242;orf19.2299;orf19.2180;orf19.4257;orf19.738;orf19.7342;orf19.2614;orf19.940	30
884	GO:0007117 budding cell bud growth	orf19.796;orf19.59;orf19.1693;orf19.191;orf19.4448;orf19.6029;orf19.2075;orf19.6044;orf19.5376;orf19.6362;orf19.4927;orf19.5568;orf19.5015;orf19.4566;orf19.5087;orf19.663;orf19.390;orf19.2843;orf19.1835;orf19.1989;orf19.3230;orf19.4242;orf19.4909;orf19.7501	24
885	GO:0007118 budding cell apical bud growth	orf19.796;orf19.1693;orf19.191;orf19.4448;orf19.6029;orf19.6044;orf19.6362;orf19.4927;orf19.5568;orf19.5015;orf19.4566;orf19.5087;orf19.390;orf19.1835;orf19.3230;orf19.4242;orf19.4909	17
887	GO:0007120 axial cellular bud site selection	orf19.5292;orf19.6787;orf19.7079;orf19.4349;orf19.5903;orf19.886;orf19.3765;orf19.1842;orf19.2180;orf19.4257;orf19.7342;orf19.2614;orf19.940	13
888	GO:0007121 bipolar cellular bud site selection	orf19.7359;orf19.2190;orf19.5903;orf19.886;orf19.6362;orf19.3765;orf19.5087;orf19.1835;orf19.1842;orf19.3088;orf19.4242;orf19.2180;orf19.738;orf19.2614;orf19.940	15
889	GO:0007124 pseudohyphal growth	orf19.5672;orf19.3228;orf19.5908;orf19.1084;orf19.2823;orf19.6365;orf19.3944;orf19.2746;orf19.3097;orf19.1187;orf19.5498;orf19.6494;orf19.6444;orf19.4577;orf19.7622;orf19.1944;orf19.2745;orf19.2075;orf19.881;orf19.1621;orf19.5376;orf19.6362;orf19.4953;orf19.3669;orf19.4399;orf19.4308;orf19.209;orf19.3506;orf19.5087;orf19.1773;orf19.1835;orf19.6760;orf19.844;orf19.3969;orf19.469;orf19.4242;orf19.3014;orf19.4433;orf19.6414.3;orf19.1317;orf19.610	41
891	GO:0007129 homologous chromosome pairing at meiosis	orf19.2216;orf19.3306;orf19.2922;orf19.5212;orf19.2763;orf19.810	6
892	GO:0007130 synaptonemal complex assembly	orf19.5954;orf19.776;orf19.1622;orf19.3760;orf19.3306;orf19.5212;orf19.3856;orf19.262;orf19.1883	9
893	GO:0007131 reciprocal meiotic recombination	orf19.4206;orf19.5844;orf19.3589;orf19.2873;orf19.3373;orf19.2267;orf19.5318;orf19.7257;orf19.5934;orf19.776;orf19.3608;orf19.705;orf19.3752;orf19.3760;orf19.6915;orf19.5069;orf19.7006;orf19.366;orf19.7310;orf19.6142;orf19.5004;orf19.2922;orf19.5212;orf19.1865;orf19.848;orf19.2907;orf19.3049;orf19.1874;orf19.262;orf19.2713;orf19.1956;orf19.2174;orf19.3263;orf19.810;orf19.2579;orf19.4822;orf19.3648;orf19.5367;orf19.2093;orf19.2728;orf19.4162;orf19.1283;orf19.7464;orf19.5764;orf19.7208	45
895	GO:0007155 cell adhesion	orf19.932;orf19.7414;orf19.4555;orf19.1725;orf19.3111;orf19.5672;orf19.7176;orf19.7625;orf19.323;orf19.2444;orf19.7260;orf19.4477;orf19.1401;orf19.5908;orf19.3080;orf19.5776;orf19.6469;orf19.5605;orf19.7359;orf19.696;orf19.5437;orf19.1779;orf19.3829;orf19.5219;orf19.5639;orf19.723;orf19.454;orf19.2972;orf19.4084;orf19.5148;orf19.5100;orf19.6906;orf19.6182;orf19.4216;orf19.30;orf19.4448;orf19.2277;orf19.3629;orf19.278;orf19.6197;orf19.6713;orf19.5107;orf19.2272;orf19.3071;orf19.1816;orf19.6382;orf19.1760;orf19.3089;orf19.7267;orf19.6109;orf19.7150;orf19.6336;orf19.2209;orf19.5383;orf19.1665;orf19.6274;orf19.5657;orf19.1663;orf19.207;orf19.7561;orf19.1856;orf19.5031;orf19.2990;orf19.3523;orf19.5736;orf19.4563;orf19.6124;orf19.2331;orf19.5171;orf19.3127;orf19.4884;orf19.4869;orf19.1097;orf19.2251;orf19.7084;orf19.6928;orf19.5742;orf19.6146;orf19.5404.1;orf19.5636;orf19.3969;orf19.7436;orf19.3380;orf19.7381;orf19.7400;orf19.6814;orf19.7472;orf19.2264;orf19.7610;orf19.4175;orf19.3483;orf19.4257;orf19.5741;orf19.5367;orf19.5953;orf19.1133;orf19.1756;orf19.1321;orf19.1936;orf19.610	100
897	GO:0007160 cell-matrix adhesion	orf19.4477;orf19.1665;orf19.1663;orf19.5736;orf19.6814	5
898	GO:0007162 negative regulation of cell adhesion	orf19.3672;orf19.2444;orf19.6420;orf19.896;orf19.3523;orf19.3038;orf19.3969;orf19.4892	8
899	GO:0007163 establishment or maintenance of cell polarity	orf19.932;orf19.5292;orf19.3276;orf19.796;orf19.564;orf19.3501;orf19.6880;orf19.7412;orf19.3013;orf19.6610;orf19.6034;orf19.2204.2;orf19.7359;orf19.2626;orf19.6787;orf19.5221;orf19.5095;orf19.7510;orf19.5691;orf19.7079;orf19.906;orf19.3862;orf19.7652;orf19.1693;orf19.1490;orf19.3823;orf19.3198;orf19.1203;orf19.191;orf19.3505;orf19.4349;orf19.4448;orf19.2190;orf19.4645;orf19.1232;orf19.5903;orf19.1760;orf19.886;orf19.5162;orf19.6029;orf19.3534;orf19.4772;orf19.6044;orf19.807;orf19.5200;orf19.6812;orf19.6705;orf19.2290;orf19.6362;orf19.215;orf19.6810;orf19.4927;orf19.5919;orf19.3174;orf19.350;orf19.7604;orf19.3765;orf19.5015;orf19.7537;orf19.5007;orf19.6883;orf19.5087;orf19.6285;orf19.2911;orf19.1254;orf19.4890;orf19.390;orf19.2843;orf19.1835;orf19.6170;orf19.6217;orf19.2771;orf19.2660;orf19.3267;orf19.3683;orf19.7586;orf19.1833;orf19.677;orf19.7308;orf19.1842;orf19.2600;orf19.121;orf19.3088;orf19.895;orf19.3330;orf19.6598;orf19.3888;orf19.1236;orf19.4242;orf19.4909;orf19.2180;orf19.1418;orf19.4257;orf19.738;orf19.7342;orf19.2614;orf19.3207;orf19.4855;orf19.1133;orf19.940;orf19.1317;orf19.1220;orf19.730;orf19.728;orf19.544.1;orf19.708	106
902	GO:0007186 G protein-coupled receptor signaling pathway	orf19.5257;orf19.4015;orf19.829;orf19.696;orf19.5219;orf19.5148;orf19.6906;orf19.4448;orf19.2277;orf19.1944;orf19.1760;orf19.1621;orf19.4680;orf19.2492;orf19.695;orf19.5271;orf19.6551.1	17
903	GO:0007188 adenylate cyclase-modulating G protein-coupled receptor signaling pathway	orf19.4015;orf19.5219;orf19.5148;orf19.4448;orf19.1760;orf19.1621;orf19.695;orf19.5271	8
907	GO:0007231 osmosensory signaling pathway	orf19.4443;orf19.3256;orf19.1490;orf19.7388;orf19.4772;orf19.5181;orf19.3775;orf19.5031;orf19.5531;orf19.844;orf19.2268;orf19.6968;orf19.5110;orf19.1636;orf19.895;orf19.4242;orf19.1936	17
908	GO:0007232 osmosensory signaling pathway via Sho1 osmosensor	orf19.1490;orf19.4772;orf19.844;orf19.6968;orf19.1636;orf19.4242;orf19.1936	7
909	GO:0007234 osmosensory signaling via phosphorelay pathway	orf19.4443;orf19.3256;orf19.5181;orf19.3775;orf19.5031	5
